Made with base sentiment function in Textblob. Contains polarity and subjectivity of text. Polarity goesfrom [-1,1] and subjectivity goes from [0,1]
On 2019-06-02, the article ''The Handmaid's Tale' star and producer: 'We're on a very, very slippery slope toward Gilead'' has a sentiment score of Sentiment(polarity=0.022156862745098038, subjectivity=0.4302941176470588)
On 2019-05-31, the article 'Virginia Beach mass shooting' has a sentiment score of Sentiment(polarity=-0.009038926267841928, subjectivity=0.3952639127940333)
On 2019-05-29, the article 'Learn the fundamentals of business with this $11 crash course taught by an award-winning professor' has a sentiment score of Sentiment(polarity=0.16163458291117866, subjectivity=0.3837554880108072)
On 2019-05-31, the article 'Franklin Graham wants the nation to pray for Trump on Sunday. But other Christians call it propaganda' has a sentiment score of Sentiment(polarity=0.08230824191989243, subjectivity=0.34324314843732334)
On 2019-05-31, the article 'Elizabeth Warren vows to pass law if elected allowing for presidents to be indicted' has a sentiment score of Sentiment(polarity=0.009439935064935064, subjectivity=0.3936985930735931)
On 2019-05-30, the article 'Elizabeth Warren breaks through crowded 2020 field -- with a plan' has a sentiment score of Sentiment(polarity=0.11268657557720058, subjectivity=0.4096860062680377)
On 2019-05-30, the article 'What's moving markets today: May 30, 2019' has a sentiment score of Sentiment(polarity=0.0386204000677685, subjectivity=0.4044673017041438)
On 2019-05-30, the article 'The looming California challenge for Kamala Harris' has a sentiment score of Sentiment(polarity=0.15595751746413997, subjectivity=0.4377966036906433)
On 2019-05-30, the article 'Carl Icahn sues Occidental for 'misguided' Anadarko takeover' has a sentiment score of Sentiment(polarity=0.0807782898105479, subjectivity=0.46803123399897595)
On 2019-05-28, the article 'There's one thing Democrats need if they want to break the Electoral College' has a sentiment score of Sentiment(polarity=0.12742200328407222, subjectivity=0.5402606732348112)
On 2019-05-29, the article 'Mueller's public remarks ramp up impeachment talk among 2020 Democrats' has a sentiment score of Sentiment(polarity=0.08651828155504625, subjectivity=0.3721779241999831)
On 2019-05-30, the article 'Pelosi resists calls for impeachment after Mueller refuses to exonerate Trump' has a sentiment score of Sentiment(polarity=0.06934264453495222, subjectivity=0.365726068802992)
On 2019-05-29, the article 'The incredible shrinking ... Bernie Sanders?' has a sentiment score of Sentiment(polarity=0.1326702741702742, subjectivity=0.3724842472342473)
On 2019-05-29, the article 'Mueller speaks about the Russia investigation' has a sentiment score of Sentiment(polarity=0.12212474943992456, subjectivity=0.4130731719642222)
On 2019-05-28, the article 'Democrats see energy behind teachers strikes as a force in 2020' has a sentiment score of Sentiment(polarity=0.1276394092019092, subjectivity=0.40674013486513483)
On 2019-05-28, the article 'Bernie Sanders tries a new strategy: The photo line' has a sentiment score of Sentiment(polarity=0.14851491101491104, subjectivity=0.43490860990860986)
On 2019-05-28, the article 'MacKenzie Bezos, worth nearly $37 billion, will give half her fortune to charity' has a sentiment score of Sentiment(polarity=0.22779519331243467, subjectivity=0.4365203761755487)
On 2019-05-28, the article ''He's going to have to earn it': Can Joe Biden hold on to his place as Democratic front-runner?' has a sentiment score of Sentiment(polarity=0.0975695104353641, subjectivity=0.41048237895798867)
On 2019-05-27, the article 'What you need to know about the Tomb of the Unknown Soldier' has a sentiment score of Sentiment(polarity=0.03912214247740563, subjectivity=0.4276342371079213)
On 2019-05-26, the article 'Key 2020 storylines to watch this week, ranked' has a sentiment score of Sentiment(polarity=0.11920672498797497, subjectivity=0.4622784992784991)
On 2019-05-25, the article 'Why it took Facebook so long to act against the doctored Pelosi video' has a sentiment score of Sentiment(polarity=0.046527898027898036, subjectivity=0.4260868205868206)
On 2019-05-25, the article '2020 is team oil vs. team climate change. There's no middle.' has a sentiment score of Sentiment(polarity=0.0849090909090909, subjectivity=0.38141414141414137)
On 2019-05-25, the article 'Who's up and who's down in the 2020 Democratic primary? Basically no one.' has a sentiment score of Sentiment(polarity=0.10225714703975575, subjectivity=0.41615398289311334)
On 2019-05-24, the article '2 off-duty airmen disciplined for consuming alcohol at a missile alert facility in Wyoming' has a sentiment score of Sentiment(polarity=-0.15370370370370373, subjectivity=0.43333333333333335)
On 2019-05-24, the article 'What's Mayor Pete's path?' has a sentiment score of Sentiment(polarity=0.07669212339023662, subjectivity=0.4489742437855645)
On 2019-05-24, the article 'Consulting firm McKinsey no longer working with opioid maker Purdue Pharma' has a sentiment score of Sentiment(polarity=0.048684210526315795, subjectivity=0.5583333333333332)
On 2019-05-24, the article 'Rick Perry's greatest success in Trump's Washington: invisibility' has a sentiment score of Sentiment(polarity=0.1437264920871478, subjectivity=0.39862282526216947)
On 2019-05-23, the article 'Mounting antitrust scrutiny has Silicon Valley on the defensive' has a sentiment score of Sentiment(polarity=0.07762092979484284, subjectivity=0.4487709392057219)
On 2019-05-23, the article '2020 Democrats want AOC in their corner' has a sentiment score of Sentiment(polarity=0.12465588084232151, subjectivity=0.44185670261941445)
On 2019-05-23, the article '2020 Democrats grapple with whether to impeach Trump' has a sentiment score of Sentiment(polarity=0.030029581529581524, subjectivity=0.39006349206349206)
On 2019-05-23, the article 'The 10 Democrats most likely to be the 2020 nominee, ranked' has a sentiment score of Sentiment(polarity=0.11715308391913895, subjectivity=0.35473155539669304)
On 2019-05-23, the article 'Uber and Lyft battle Los Angeles over the future of transportation' has a sentiment score of Sentiment(polarity=0.08309101476909696, subjectivity=0.42408759429307363)
On 2019-05-23, the article 'Betsy DeVos releases more data on student loan debt' has a sentiment score of Sentiment(polarity=0.18834331688982855, subjectivity=0.47348719755696494)
On 2019-05-23, the article 'Donald Trump shows why he's a stunningly bad deal maker' has a sentiment score of Sentiment(polarity=0.07230514399528484, subjectivity=0.5652562851858626)
On 2019-05-23, the article 'Intelligence agencies brief 2020 campaigns on cybersecurity, espionage issues' has a sentiment score of Sentiment(polarity=0.09728260869565218, subjectivity=0.43586956521739134)
On 2019-05-22, the article 'Abortion is not always a red v. blue issue' has a sentiment score of Sentiment(polarity=0.10961704961704966, subjectivity=0.45134254634254617)
On 2019-05-22, the article 'Bernie Sanders: 'May be time' for House Judiciary to begin impeachment inquiry' has a sentiment score of Sentiment(polarity=-0.0943409247757074, subjectivity=0.38011559696342306)
On 2019-05-22, the article '2020 Democrats tie abortion fight to Trump as issue takes center stage' has a sentiment score of Sentiment(polarity=0.12173370319001388, subjectivity=0.47183271690553236)
On 2019-05-22, the article 'Elizabeth Warren demands additional information from Trump admin on child migrant deaths' has a sentiment score of Sentiment(polarity=-0.03995726495726496, subjectivity=0.3623931623931624)
On 2019-05-22, the article 'Kamala Harris will reintroduce bill tackling racial disparities in maternal health' has a sentiment score of Sentiment(polarity=-0.022502805836139173, subjectivity=0.37780583613916957)
On 2019-05-22, the article 'Nevada bill giving electoral votes to popular-vote winner heads to governor's desk' has a sentiment score of Sentiment(polarity=0.1650197628458498, subjectivity=0.5540513833992096)
On 2019-05-21, the article 'Beto O'Rourke to headline CNN town hall amid new push to reach national audience' has a sentiment score of Sentiment(polarity=0.15971099887766554, subjectivity=0.38781051253273474)
On 2019-05-21, the article 'Elizabeth Warren and Alexandria Ocasio-Cortez team up for 'Game of Thrones' analysis' has a sentiment score of Sentiment(polarity=-0.06442279942279942, subjectivity=0.49500865800865795)
On 2019-05-21, the article 'Why Corporate America's mountain of debt matters' has a sentiment score of Sentiment(polarity=0.086844806763285, subjectivity=0.38004830917874405)
On 2016-02-19, the article 'World's 12 best places for heli-skiing' has a sentiment score of Sentiment(polarity=0.10081278420261473, subjectivity=0.45305171288222135)
On 2019-05-20, the article 'Trump calls out Fox for booking Democrats, showing his disregard for journalism' has a sentiment score of Sentiment(polarity=0.0459290824915825, subjectivity=0.4443455387205389)
On 2019-05-20, the article 'Let's praise Robert F. Smith -- and heed the problem his donation has laid bare' has a sentiment score of Sentiment(polarity=0.08356629246459756, subjectivity=0.3849273607748185)
On 2019-05-18, the article 'Joe Biden answers Democratic anger with call for unity' has a sentiment score of Sentiment(polarity=0.13722826086956524, subjectivity=0.4425724637681158)
On 2019-05-20, the article 'A billionaire will pay off debt of Morehouse College's 2019 graduates. Here is what that gesture means' has a sentiment score of Sentiment(polarity=0.09854651162790697, subjectivity=0.37474160206718343)
On 2019-05-20, the article 'Pete Buttigieg slams Fox News hosts while appearing on Fox News' has a sentiment score of Sentiment(polarity=0.08792530164870592, subjectivity=0.5619377667250007)
On 2019-05-19, the article 'Morehouse College grads are surprised by a billionaire's promise to pay off their student loans' has a sentiment score of Sentiment(polarity=0.1555803129332541, subjectivity=0.5101455733808676)
On 2019-05-19, the article 'What to know about Robert F. Smith, the man paying off Morehouse grads' student loans' has a sentiment score of Sentiment(polarity=0.062444567627494466, subjectivity=0.4225794530672579)
On 2019-05-19, the article 'The 5 BIG 2020 storylines to watch this week' has a sentiment score of Sentiment(polarity=0.09468822423367876, subjectivity=0.36318072499890675)
On 2019-05-18, the article 'Abortion bills push women's reproductive rights into political spotlight' has a sentiment score of Sentiment(polarity=0.10341114062704972, subjectivity=0.4578877246490883)
On 2019-05-18, the article 'Why it won't be easy for Elizabeth Warren to take Bernie Sanders' base' has a sentiment score of Sentiment(polarity=0.08748421717171719, subjectivity=0.5007178932178932)
On 2019-05-17, the article 'Missouri passes bill that would ban abortion after 8 weeks' has a sentiment score of Sentiment(polarity=0.15295698924731183, subjectivity=0.4475806451612904)
On 2019-05-17, the article 'This looks like Joe Biden's race to lose now' has a sentiment score of Sentiment(polarity=0.09119416568280204, subjectivity=0.37371900826446286)
On 2019-05-17, the article 'Trump has de Blasio pegged just right' has a sentiment score of Sentiment(polarity=0.10338351042896496, subjectivity=0.483531855350037)
On 2019-05-17, the article 'Bernie Sanders will call for ban on for-profit charter schools' has a sentiment score of Sentiment(polarity=0.03222188995215312, subjectivity=0.33730396065922386)
On 2019-05-17, the article 'Haven, the Amazon-Berkshire-JPMorgan health care company, has already lost its No. 2 executive' has a sentiment score of Sentiment(polarity=0.14068067033976125, subjectivity=0.4950803489439852)
On 2019-05-17, the article 'Trump's trade war puts Southern Republicans in an awkward spot' has a sentiment score of Sentiment(polarity=0.11189065737937913, subjectivity=0.3886423309355641)
On 2019-05-17, the article 'Elizabeth Warren calls for federal protections for abortion rights, warns GOP efforts to overturn Roe 'just might work'' has a sentiment score of Sentiment(polarity=0.13452243018419485, subjectivity=0.4062975341651812)
On 2019-05-17, the article 'How does Twitter chatter warp our thinking about what's popular and important?' has a sentiment score of Sentiment(polarity=0.032726263485192066, subjectivity=0.37599713117570255)
On 2019-05-16, the article 'Quickly catch up on today's business news' has a sentiment score of Sentiment(polarity=0.18196078431372548, subjectivity=0.3650980392156863)
On 2019-05-16, the article 'What's moving markets today: May 16, 2019' has a sentiment score of Sentiment(polarity=0.0986742740690109, subjectivity=0.36382382724488005)
On 2019-05-16, the article 'Joe Biden supports decriminalizing marijuana, stops short of calling for legalization' has a sentiment score of Sentiment(polarity=0.07495075757575756, subjectivity=0.3845189393939394)
On 2019-05-16, the article 'Maine Senate passes bill giving state's electoral votes to national popular vote winner' has a sentiment score of Sentiment(polarity=0.2223484848484848, subjectivity=0.5456060606060605)
On 2019-05-16, the article 'Warren Buffett's Berkshire Hathaway just made a $900 million bet on Amazon' has a sentiment score of Sentiment(polarity=0.08696236559139787, subjectivity=0.4080645161290323)
On 2019-05-16, the article 'Donald Trump wants you to be afraid of socialism. Except when he doesn't.' has a sentiment score of Sentiment(polarity=0.0909204623878537, subjectivity=0.3730417529330573)
On 2019-05-15, the article 'Alabama governor signs nation's most restrictive anti-abortion bill into law' has a sentiment score of Sentiment(polarity=0.0800446963582557, subjectivity=0.46278126299312744)
On 2019-05-16, the article 'Why 2020 hopefuls like to announce their plans at the crack of dawn' has a sentiment score of Sentiment(polarity=0.0835872113997114, subjectivity=0.38908121392496386)
On 2019-05-16, the article 'Elizabeth Warren is rejecting Fox News, but most of her rivals aren't' has a sentiment score of Sentiment(polarity=0.10990851134293761, subjectivity=0.44520202020202015)
On 2019-05-15, the article 'Senate Democrats introduce bill requiring paper ballots amid election cybersecurity concerns' has a sentiment score of Sentiment(polarity=0.0036998775635139276, subjectivity=0.2748469543924089)
On 2019-05-15, the article 'How many stinking rich people are there in the US?' has a sentiment score of Sentiment(polarity=0.19309651192181315, subjectivity=0.49526462493329965)
On 2019-05-15, the article 'Donald Trump is Joe Biden's best friend right now' has a sentiment score of Sentiment(polarity=0.13628480572925014, subjectivity=0.4110997541553097)
On 2019-05-14, the article ''No middle ground': Ocasio-Cortez and activists take aim at Biden at Green New Deal rally' has a sentiment score of Sentiment(polarity=0.019995001651628156, subjectivity=0.37833107321059134)
On 2019-05-14, the article 'Joe Biden predicts a post-Trump 'epiphany' for Republicans' has a sentiment score of Sentiment(polarity=0.0958801770368934, subjectivity=0.43493167280480693)
On 2019-05-14, the article 'Elizabeth Warren rejects Fox News town hall invite, slams network's 'hate-for-profit' model' has a sentiment score of Sentiment(polarity=0.09336124401913874, subjectivity=0.45944976076555016)
On 2019-05-14, the article 'Corporations are getting bigger. Thank a trial lawyer for keeping them in check' has a sentiment score of Sentiment(polarity=0.06869105129974697, subjectivity=0.39172992868645035)
On 2019-05-14, the article 'Joe Biden's early state polling looks more like those of past winners than losers' has a sentiment score of Sentiment(polarity=0.1355048606364396, subjectivity=0.40236443381180215)
On 2019-05-14, the article 'This student decorated her graduation cap with QR code that sends people to a list of high school shooting victims' has a sentiment score of Sentiment(polarity=0.11392518939393938, subjectivity=0.3945975378787878)
On 2019-05-14, the article 'Joe Biden: Breaking up Facebook deserves 'really hard look'' has a sentiment score of Sentiment(polarity=0.14682359307359308, subjectivity=0.5385389610389612)
On 2019-05-13, the article 'What's moving markets today: May 13, 2019' has a sentiment score of Sentiment(polarity=0.034514144258767906, subjectivity=0.4106398728710556)
On 2019-05-13, the article 'Elizabeth Warren pledges to pick a former public school teacher as secretary of education if elected' has a sentiment score of Sentiment(polarity=0.011428571428571429, subjectivity=0.34047619047619043)
On 2019-05-13, the article 'Navajo Code Talker who fought in WWII dies at 97' has a sentiment score of Sentiment(polarity=0.12267316017316018, subjectivity=0.4026109307359307)
On 2019-05-13, the article 'Many Democrats fear Trump is laying an impeachment trap' has a sentiment score of Sentiment(polarity=0.026998299319727907, subjectivity=0.40599489795918386)
On 2019-05-12, the article 'Facebook's Nick Clegg: We know we have problems but breaking us up won't solve them' has a sentiment score of Sentiment(polarity=0.1536038961038961, subjectivity=0.43909632034632046)
On 2019-05-12, the article 'The government already knows how to end school lunch shaming' has a sentiment score of Sentiment(polarity=0.13530831571529248, subjectivity=0.46874089734554847)
On 2019-05-12, the article 'The 2020 Democrats as 'Game of Thrones' characters' has a sentiment score of Sentiment(polarity=0.10120884970149675, subjectivity=0.49437406275641577)
On 2019-05-12, the article 'Arya, Lady Gaga and Avengers: The great escape' has a sentiment score of Sentiment(polarity=0.0945937900483355, subjectivity=0.4535433253615071)
On 2019-05-12, the article 'Biden camp responds after Giuliani's canceled trip to Ukraine' has a sentiment score of Sentiment(polarity=0.029149037545263955, subjectivity=0.37780636554221464)
On 2019-05-11, the article 'Giuliani's canceled Ukraine trip caps a whirlwind week previewing his freelancing role in 2020' has a sentiment score of Sentiment(polarity=0.0918074157480937, subjectivity=0.42150504862369265)
On 2019-05-11, the article 'Elizabeth Warren comes face-to-face with the opioid epidemic in West Virginia and Ohio' has a sentiment score of Sentiment(polarity=0.04395772395772395, subjectivity=0.38827463827463826)
On 2019-05-11, the article 'Giuliani reverses course, says he's no longer going to Ukraine to press Biden investigation' has a sentiment score of Sentiment(polarity=0.06990692640692642, subjectivity=0.44112705627705623)
On 2019-05-11, the article 'Beto O'Rourke is polling worse than ever' has a sentiment score of Sentiment(polarity=0.13880106483554758, subjectivity=0.4289938796835348)
On 2019-05-10, the article 'Giuliani defends going to Ukraine to press for investigations connected to Biden' has a sentiment score of Sentiment(polarity=0.06950757575757575, subjectivity=0.37674910873440287)
On 2019-05-10, the article 'A bill to make lemonade Arizona's state drink passes after a teen lobbies for it. (Gun legislation, also lobbied for by teens, went nowhere)' has a sentiment score of Sentiment(polarity=0.058587595532039974, subjectivity=0.42859528331750546)
On 2019-01-30, the article 'Tulsi Gabbard Fast Facts' has a sentiment score of Sentiment(polarity=0.03577097505668935, subjectivity=0.33820861678004527)
On 2019-10-22, the article 'The complete and utter weirdness of Hillary Clinton's attack on Tulsi Gabbard' has a sentiment score of Sentiment(polarity=0.07061284486657621, subjectivity=0.4235839202257113)
On 2019-10-22, the article 'Opioid settlements have a big downside' has a sentiment score of Sentiment(polarity=0.06810509654954097, subjectivity=0.41455397277619516)
On 2019-10-22, the article 'Queen Latifah to be honored by Harvard for her contributions to black culture' has a sentiment score of Sentiment(polarity=0.057843137254901957, subjectivity=0.22156862745098038)
On 2019-10-22, the article 'Tulsi Gabbard's Clinton clash sparks speculation about her political future' has a sentiment score of Sentiment(polarity=0.10970397737639116, subjectivity=0.4175401386608283)
On 2019-10-20, the article 'Three things to watch for this NFL Sunday: Rivalries, redemption and a battle of the birds' has a sentiment score of Sentiment(polarity=0.11799397920087575, subjectivity=0.47714833059660644)
On 2016-12-27, the article '2016 Presidential Campaign Hacking Fast Facts' has a sentiment score of Sentiment(polarity=0.043027102005975246, subjectivity=0.2646873666239864)
On 2019-10-18, the article 'Mattis laughs off Trump criticism: 'I guess I'm the Meryl Streep of generals'' has a sentiment score of Sentiment(polarity=0.16505088478772686, subjectivity=0.41915109744057116)
On 2019-10-16, the article 'Quickly catch up on the day's news' has a sentiment score of Sentiment(polarity=0.10757575757575759, subjectivity=0.3446969696969697)
On 2019-10-16, the article 'What is a bomb cyclone? Here's what you need to know' has a sentiment score of Sentiment(polarity=0.08710317460317461, subjectivity=0.3777777777777777)
On 2019-10-15, the article 'Once again, chiefs of tribal nations say the Atlanta Braves' tomahawk chop is inappropriate' has a sentiment score of Sentiment(polarity=0.026747311827956987, subjectivity=0.4424731182795699)
On 2019-10-15, the article 'Quickly catch up on the day's news' has a sentiment score of Sentiment(polarity=0.12464795008912656, subjectivity=0.29910427807486634)
On 2019-10-15, the article 'Wells Fargo takes $1.6 billion hit linked to fake-account scandal' has a sentiment score of Sentiment(polarity=0.020462548015364915, subjectivity=0.37114276568501914)
On 2019-10-15, the article 'How to run for President' has a sentiment score of Sentiment(polarity=0.0980681818181818, subjectivity=0.48011363636363635)
On 2019-10-15, the article 'Who can vote in US elections?' has a sentiment score of Sentiment(polarity=0.06905964405964406, subjectivity=0.40653301724730295)
On 2019-10-15, the article 'Political primaries and caucuses, explained' has a sentiment score of Sentiment(polarity=0.2380303030303031, subjectivity=0.4049594940578546)
On 2019-10-15, the article 'How to run for President' has a sentiment score of Sentiment(polarity=0.0980681818181818, subjectivity=0.48011363636363635)
On 2019-10-15, the article 'How to run for President' has a sentiment score of Sentiment(polarity=0.0980681818181818, subjectivity=0.48011363636363635)
On 2019-10-15, the article 'Political primaries and caucuses, explained' has a sentiment score of Sentiment(polarity=0.2380303030303031, subjectivity=0.4049594940578546)
On 2019-10-15, the article 'Who can vote in US elections?' has a sentiment score of Sentiment(polarity=0.06905964405964406, subjectivity=0.40653301724730295)
On 2019-10-15, the article 'Ex-Obama administration officials push Democrats in Congress to defund war in Yemen' has a sentiment score of Sentiment(polarity=0.02987421383647799, subjectivity=0.45015723270440244)
On 2019-10-15, the article 'Is it safe to visit Hong Kong right now?' has a sentiment score of Sentiment(polarity=0.10213270958432251, subjectivity=0.4912003444584091)
On 2019-10-15, the article 'A Nevada university is investigating a threat targeting African Americans and Bernie Sanders supporters' has a sentiment score of Sentiment(polarity=0.08750000000000001, subjectivity=0.29322916666666665)
On 2019-10-14, the article 'Fact check: Trump says again that Americans need ID to buy groceries. They still don't' has a sentiment score of Sentiment(polarity=0.04928571428571428, subjectivity=0.5222380952380952)
On 2019-10-14, the article 'New York Times: Fake video of Trump shooting media and critics played at his resort' has a sentiment score of Sentiment(polarity=-0.03921356421356423, subjectivity=0.4495129870129871)
On 2012-12-20, the article 'Hillary Clinton Fast Facts' has a sentiment score of Sentiment(polarity=0.08460761799176433, subjectivity=0.37478091014676385)
On 2017-10-12, the article '2016 Presidential Election Investigation Fast Facts' has a sentiment score of Sentiment(polarity=0.045095434868162136, subjectivity=0.2750896409987319)
On 2019-10-11, the article 'Donald Trump joins Amazon's video game streaming platform Twitch' has a sentiment score of Sentiment(polarity=-0.06093073593073594, subjectivity=0.33452380952380956)
On 2019-10-10, the article 'Bernie Sanders: I'm ready 'to go full blast' following heart attack' has a sentiment score of Sentiment(polarity=0.09442443581618838, subjectivity=0.42991985391469917)
On 2019-10-10, the article 'Bernie Sanders says he's back. Is he?' has a sentiment score of Sentiment(polarity=0.12688375350140055, subjectivity=0.3299766573295985)
On 2019-10-10, the article 'Tom Steyer raises paltry $2 million after personally spending tens of millions on his presidential bid' has a sentiment score of Sentiment(polarity=0.08189817428947867, subjectivity=0.3739083380387728)
On 2019-10-10, the article 'Four ways to think about Trump's Syria decision -- Meanwhile in America' has a sentiment score of Sentiment(polarity=0.05423907441764585, subjectivity=0.36968485879200175)
On 2019-10-10, the article 'Cory Booker to propose national expansion of California law allowing college athletes to take sponsorships' has a sentiment score of Sentiment(polarity=0.08781622023809524, subjectivity=0.4255918560606062)
On 2019-10-10, the article 'America's presidential race is the most grueling experience in democratic politics' has a sentiment score of Sentiment(polarity=0.03166579588993383, subjectivity=0.4280781957506095)
On 2019-10-09, the article 'Physicians: Bernie Sanders had a heart attack, but OF COURSE he could still be president' has a sentiment score of Sentiment(polarity=0.10724221635238587, subjectivity=0.5245658766845208)
On 2019-10-08, the article 'Bernie Sanders to scale back campaign schedule in the wake of heart attack' has a sentiment score of Sentiment(polarity=0.12183892496392494, subjectivity=0.3929435726310726)
On 2015-05-27, the article 'Bernie Sanders Fast Facts' has a sentiment score of Sentiment(polarity=0.15546085858585862, subjectivity=0.28565656565656566)
On 2019-10-07, the article 'Sarah Sanders was the first guest on a new USDA podcast' has a sentiment score of Sentiment(polarity=0.09846856005946915, subjectivity=0.361601950238314)
On 2019-10-07, the article 'Pete Buttigieg proposes seizing patents and steep taxes on pharmaceutical companies who won't negotiate drug prices' has a sentiment score of Sentiment(polarity=0.0149070929070929, subjectivity=0.343013875013875)
On 2019-10-07, the article 'Bernie Sanders to take on DNC over convention funding' has a sentiment score of Sentiment(polarity=0.0978490913273522, subjectivity=0.3471704623878537)
On 2019-10-04, the article 'Bernie Sanders had a heart attack. He's returning to Vermont to recover' has a sentiment score of Sentiment(polarity=0.23092592592592595, subjectivity=0.39629629629629626)
On 2019-10-03, the article 'Bernie Sanders to take part in next debate and plans to leave hospital in coming days, campaign says' has a sentiment score of Sentiment(polarity=0.177051720209615, subjectivity=0.3668432444748234)
On 2019-10-03, the article 'Marianne Williamson raises $3 million in third quarter, doubling her previous haul' has a sentiment score of Sentiment(polarity=-0.0040322580645161255, subjectivity=0.3354838709677419)
On 2019-10-02, the article 'Andrew Yang raises $10 million in third quarter, dwarfing previous hauls' has a sentiment score of Sentiment(polarity=0.11076618959272022, subjectivity=0.42458587331036307)
On 2019-10-01, the article 'Missouri inmate executed despite activists' concerns he could suffer because of his rare disease' has a sentiment score of Sentiment(polarity=-0.09111850209411186, subjectivity=0.46228514033392076)
On 2019-09-29, the article ''SNL' cold open reveals what a difference four months can make' has a sentiment score of Sentiment(polarity=0.06687571868235932, subjectivity=0.45118033008658015)
On 2019-09-30, the article 'Bernie Sanders releases tax plan to target income inequality' has a sentiment score of Sentiment(polarity=0.11586163836163836, subjectivity=0.3663519813519813)
On 2019-09-24, the article 'Massachusetts to temporarily ban the sale of e-cigarettes and vaping products' has a sentiment score of Sentiment(polarity=0.09400205058099795, subjectivity=0.3105832763727501)
On 2019-09-24, the article 'Iowa Democrats split on whether to continue caucus system, new poll shows' has a sentiment score of Sentiment(polarity=0.1949249882062381, subjectivity=0.5451142491767491)
On 2019-09-23, the article 'Jharrel Jerome pays tribute to exonerated Central Park Five in Emmy acceptance speech' has a sentiment score of Sentiment(polarity=0.1418831168831169, subjectivity=0.4892135642135643)
On 2019-09-20, the article 'The GM strike isn't about what's best for workers' has a sentiment score of Sentiment(polarity=0.07973152578415735, subjectivity=0.4336567428672692)
On 2019-04-09, the article 'Beto O'Rourke Fast Facts' has a sentiment score of Sentiment(polarity=-0.04097222222222223, subjectivity=0.20168650793650786)
On 2019-09-16, the article 'President Trump rallies in New Mexico' has a sentiment score of Sentiment(polarity=0.11022787878787883, subjectivity=0.419919595959596)
On 2019-09-14, the article 'Bernie Sanders shares personal moment with veteran struggling with $139,000 in health care debt' has a sentiment score of Sentiment(polarity=-0.008728070175438593, subjectivity=0.3678508771929825)
On 2019-09-14, the article 'Bernie Sanders teases $2.5 trillion housing plan' has a sentiment score of Sentiment(polarity=0.061787878787878794, subjectivity=0.38051515151515153)
On 2019-09-10, the article 'How Bolton got himself fired' has a sentiment score of Sentiment(polarity=0.04471880458722564, subjectivity=0.347615487582593)
On 2019-06-23, the article 'Why Trump can't fill the gaping holes in his government' has a sentiment score of Sentiment(polarity=0.11441660970608336, subjectivity=0.41495010252904985)
On 2019-09-08, the article 'Coloradans push Gardner on gun control ahead of marquee Senate race' has a sentiment score of Sentiment(polarity=0.019378317334839076, subjectivity=0.3620845434758478)
On 2019-09-06, the article 'Must-watch videos of the week' has a sentiment score of Sentiment(polarity=0.14377480158730158, subjectivity=0.4652281746031745)
On 2019-09-04, the article '15 things a president can actually do to tackle the climate crisis' has a sentiment score of Sentiment(polarity=0.14484952230050283, subjectivity=0.42313848098161844)
On 2019-09-04, the article 'How Walmart became an unlikely champion of gun safety' has a sentiment score of Sentiment(polarity=0.06736286919831223, subjectivity=0.3705279319836282)
On 2013-08-16, the article 'NFL Pro Bowl Fast Facts' has a sentiment score of Sentiment(polarity=0.09303221288515406, subjectivity=0.4102591036414566)
On 2019-09-03, the article 'Teenage boy goes blind after existing on Pringles, white bread and french fries' has a sentiment score of Sentiment(polarity=0.06086681547619046, subjectivity=0.47160094246031736)
On 2019-09-03, the article ''Wu-Tang: An American Saga' joins wave of authorized musical bios' has a sentiment score of Sentiment(polarity=0.04836363636363637, subjectivity=0.3923333333333333)
On 2019-08-29, the article 'Hurricane Dorian intensifies as it heads for US' has a sentiment score of Sentiment(polarity=0.07314437862645523, subjectivity=0.4366934758003976)
On 2019-08-31, the article 'Six weeks, 328 false claims. Breaking down Trump's dishonesty' has a sentiment score of Sentiment(polarity=-0.05831393815264787, subjectivity=0.46384052029213335)
On 2019-08-31, the article 'Bernie Sanders teases plan to eliminate billions in medical debt' has a sentiment score of Sentiment(polarity=-0.035209627329192555, subjectivity=0.39174861973775027)
On 2019-08-30, the article 'Madeleine Westerhout, Trump's gatekeeper, was known for her loyalty -- until she was pushed out' has a sentiment score of Sentiment(polarity=0.08698866545640743, subjectivity=0.3779183540473862)
On 2019-08-29, the article 'Dorian could be the strongest hurricane to hit Florida's east coast since Andrew' has a sentiment score of Sentiment(polarity=0.03471610235003091, subjectivity=0.40945616883116864)
On 2019-08-29, the article 'The Trump team is now lying about lying' has a sentiment score of Sentiment(polarity=0.08827076737524499, subjectivity=0.4153799724322112)
On 2019-08-29, the article 'Trump turns up the volume with days of anti-media attacks' has a sentiment score of Sentiment(polarity=0.08018815979342296, subjectivity=0.44889021796916534)
On 2019-08-28, the article 'The last 'daily' White House press briefing was 170 days ago' has a sentiment score of Sentiment(polarity=0.03569781667607754, subjectivity=0.25157089287524065)
On 2019-08-27, the article 'Bernie Sanders' new climate plan asks Democrats: Do you want a revolution or not?' has a sentiment score of Sentiment(polarity=0.10751268159243624, subjectivity=0.477749448915093)
On 2019-08-25, the article 'Andrew Luck is, indeed, lucky' has a sentiment score of Sentiment(polarity=0.03776456876456876, subjectivity=0.5076666666666667)
On 2013-09-18, the article 'Columbine High School Shootings Fast Facts' has a sentiment score of Sentiment(polarity=-0.1409672619047619, subjectivity=0.41745535714285714)
